Epoch	LR	Train Loss	Val Loss	Train Acc	Val Acc	
1.000000	0.000500	0.001990	0.006397	0.129587	0.241599	
2.000000	0.000500	0.001517	0.001217	0.268656	0.410290	
3.000000	0.000500	0.001370	0.001246	0.393969	0.520655	
4.000000	0.000500	0.001204	0.001103	0.500781	0.587550	
5.000000	0.000500	0.001098	0.000993	0.557199	0.613809	
6.000000	0.000500	0.001031	0.000938	0.591292	0.659768	
7.000000	0.000500	0.001003	0.000935	0.615349	0.668926	
8.000000	0.000500	0.000980	0.000908	0.634406	0.681404	
9.000000	0.000500	0.000958	0.000899	0.655047	0.690809	
10.000000	0.000500	0.000943	0.000897	0.669719	0.689921	
11.000000	0.000500	0.000932	0.000877	0.676712	0.704233	
12.000000	0.000500	0.000918	0.000862	0.690594	0.722294	
13.000000	0.000500	0.000913	0.000860	0.695112	0.729348	
14.000000	0.000500	0.000899	0.000852	0.706567	0.732566	
15.000000	0.000500	0.000893	0.000848	0.712764	0.725707	
16.000000	0.000500	0.000886	0.000848	0.717667	0.743392	
17.000000	0.000500	0.000878	0.000842	0.723255	0.742423	
18.000000	0.000500	0.000872	0.000843	0.731936	0.746188	
19.000000	0.000500	0.000865	0.000841	0.734623	0.739029	
20.000000	0.000500	0.000859	0.000817	0.742252	0.759580	
21.000000	0.000500	0.000856	0.000821	0.743879	0.757474	
22.000000	0.000500	0.000851	0.000816	0.747543	0.762121	
23.000000	0.000500	0.000844	0.000814	0.753865	0.766151	
24.000000	0.000500	0.000842	0.000810	0.755048	0.767318	
25.000000	0.000500	0.000837	0.000807	0.760711	0.768832	
26.000000	0.000500	0.000831	0.000806	0.763904	0.775773	
27.000000	0.000500	0.000828	0.000799	0.766187	0.782460	
28.000000	0.000500	0.000823	0.000797	0.772149	0.780323	
29.000000	0.000500	0.000819	0.000804	0.774073	0.780349	
30.000000	0.000500	0.000816	0.000796	0.776098	0.782318	
31.000000	0.000500	0.000815	0.000793	0.775866	0.786805	
